business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
87593,"SICILIAN PIZZA AND PASTA",627 S 4TH ST,LOUISVILLE,KY,40202,38.2478444000,-85.7580562000,(502) 457-3206
87609,"LOGANS ROADHOUSE",1540 ALLIANT AVE,LOUISVILLE,KY,40299,38.2205030000,-85.5379440000,(502) 266-6009
31334,"GOOD SAMARITAN",3500 GOOD SAMARITAN WAY,LOUISVILLE,KY,40299,38.1964285000,-85.5624782000,(502) 267-7403
32905,"EXECUTIVE STRIKE AND SPARE",911 PHILLIPS LN,LOUISVILLE,KY,40209,38.1923888000,-85.7414482000,(502) 367-2251
32910,"BLUE HORSE",830 PHILLIPS LN,LOUISVILLE,KY,40209,38.1921182000,-85.7407115000,(502) 367-2251
32659,"BIG SPRING MAIN KITCHEN",5901 DUTCHMANS LN,LOUISVILLE,KY,40205,38.2312090000,-85.6502840000,(502) 459-2622
32660,"JEWISH COMMUNITY CENTER KITCHEN",3600 DUTCHMANS LN,LOUISVILLE,KY,40205,38.2251280000,-85.6496200000,(502) 458-3281
32724,"MOOSE LODGE #5",4615 FEGENBUSH LN,LOUISVILLE,KY,40228,38.1820070000,-85.6371560000,(502) 499-8875
32727,"RUTHS CHRIS STEAK HOUSE",6100 DUTCHMANS LN,LOUISVILLE,KY,40205,38.2283326000,-85.6393450000,(502) 479-0026
32733,"WHITE CASTLE #10",793 EASTERN PKWY,LOUISVILLE,KY,40217,.0000000000,.0000000000,(502) 634-3322
32765,"WOMANS CLUB OF LOUISVILLE",1320 S 4TH ST,LOUISVILLE,KY,40208,38.2321130000,-85.7612820000,(502) 634-9437
32358,"ARBYS #5430",10704 DIXIE HWY,LOUISVILLE,KY,40272,38.0981914000,-85.8725224000,(502) 935-1329
32112,"CHEDDAR BOX",3909 CHENOWETH SQUARE,LOUISVILLE,KY,40207,38.2548871000,-85.6542761000,(502) 897-2334
32114,"CORNER CAFE AND PIZZERIA",9307 NEW LAGRANGE RD,LOUISVILLE,KY,40242,.0000000000,.0000000000,(502) 426-8119
32384,"STRATHMOOR EDUCATION CENTER",2201 HAWTHORNE AVE,LOUISVILLE,KY,40205,38.2169930000,-85.6763196000,(502) 458-6585
32531,"BOYS AND GIRLS HAVEN #1",2301 GOLDSMITH LN,LOUISVILLE,KY,40218,38.2101954000,-85.6657655000,(502) 458-1471
32802,"KFC Y052-016",5012 S 3RD ST,LOUISVILLE,KY,40214,38.1740522000,-85.7677809000,(502) 366-2673
32804,"ARBYS #194",5022 S 3RD ST,LOUISVILLE,KY,40214,38.1736147000,-85.7678725000,(502) 366-8435
32815,"HITCHING POST INN",7314 FEGENBUSH LN,LOUISVILLE,KY,40228,38.1430773000,-85.6241682000,(502) 239-4724
32818,"FORD MOTOR CO CAFETERIA",2000 FERN VALLEY RD,LOUISVILLE,KY,40232,38.1547970000,-85.7252050000,(502) 366-9511
32140,"ARBYS #5412",6216 BARDSTOWN RD,LOUISVILLE,KY,40291,38.1556665000,-85.5902843000,(502) 239-3203
32534,"KRAZY DAVES NEIGHBORHOOD PUB AND GRILL",2817 DEL RIO PL,LOUISVILLE,KY,40220,38.2145880000,-85.6543810000,(502) 403-6101
32535,"DES PRES PARK CONCESSION",4709 LOWE RD,LOUISVILLE,KY,40222,38.2226423000,-85.6047840000,(502) 643-6040
32536,"BOURBON STREET CAFE",850 DIXIE HWY,LOUISVILLE,KY,40210,38.2449542000,-85.7837237000,(502) 774-7156
32827,"LONG RUN GOLF CLUB",1605 FLAT ROCK RD,LOUISVILLE,KY,40223,38.2647874000,-85.4259871000,(502) 245-9015
32829,"JOHN OBRYANS",4123 FLINTLOCK DR,LOUISVILLE,KY,40216,38.1602030000,-85.8340572000,(502) 449-4940
32553,"CAPTAIN DS #3329",3937 DIXIE HWY,LOUISVILLE,KY,40217,38.1935820000,-85.8066860000,(502) 447-4582
32564,"JERRYS RESTAURANT #1018",4832 DIXIE HWY,LOUISVILLE,KY,40216,38.1719336000,-85.8260138000,(502) 447-4610
32841,"PATRICKS LIQUOR BAR",3202 FRANKFORT AVE,LOUISVILLE,KY,40206,38.2541240000,-85.6752640000,(502) 897-9697
32571,"LOGANS ROADHOUSE",5229 DIXIE HWY,LOUISVILLE,KY,40216,38.1615266000,-85.8316953000,(502) 448-0577
32578,"WHITE CASTLE #19",7400 DIXIE HWY,LOUISVILLE,KY,40258,38.1428715000,-85.8402109000,(502) 935-0421
32579,"BONNIE AND CLYDES PIZZA",7611 DIXIE HWY,LOUISVILLE,KY,40258,38.1401730000,-85.8406990000,(502) 935-5540
